haushalt;haushalt_beschreibung;haushaltstelle;einzelplan;unterabschnitt;haushaltkonto;jahr;wert;soll_ist;einnahme_ausgabe;vermerke;fb;haushaltstelle_beschreibung;haushaltstelle_beschreibung_detail;einzelplan_beschreibung;unterabschnitt_beschreibung;seite
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9361";"0";"0002";"9361";2014;3000;"Soll";"Ausgabe";"";"020";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.9350";"0";"0003";"9350";2014;750;"Soll";"Ausgabe";"";"030";"Erwerb von beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9351";"0";"0007";"9351";2014;3000;"Soll";"Ausgabe";"gegsD=63";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9352";"0";"0007";"9352";2014;900;"Soll";"Ausgabe";"gegsD=63";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9361";"0";"0007";"9361";2014;2000;"Soll";"Ausgabe";"gegsD=63";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0007.9362";"0";"0007";"9362";2014;850;"Soll";"Ausgabe";"gegsD=63";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Fraktionen";"1092"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0100.9361";"0";"0100";"9361";2014;1500;"Soll";"Ausgabe";"";"120";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Rechnungsprüfung";"1093"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0201.9352";"0";"0201";"9352";2014;500;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"SK - Rat und Repräsentation";"1094"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9351";"0";"0202";"9351";2014;4000;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9361";"0";"0202";"9361";2014;1200;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0202.9362";"0";"0202";"9362";2014;400;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"SK -Steuerung und Koordination (SK 5 - 7)";"1095"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9351";"0";"0208";"9351";2014;2000;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9352";"0";"0208";"9352";2014;1000;"Soll";"Ausgabe";"";"180";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0208.9361";"0";"0208";"9361";2014;2800;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen -Ersatzbeschaffung- ";"";"Allgemeine Verwaltung";"Hauptverwaltung Zentraler Verwaltungsservice";"1096"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9351";"0";"0221";"9351";2014;1000;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9352";"0";"0221";"9352";2014;500;"Soll";"Ausgabe";"";"180";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0221.9361";"0";"0221";"9361";2014;2800;"Soll";"Ausgabe";"";"180";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Personalverwaltung Zentraler Verwaltungsservice";"1097"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0231.9361";"0";"0231";"9361";2014;2000;"Soll";"Ausgabe";"";"300";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Rechtswesen - Bußgeldstelle";"1098"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0301.3451";"0";"0301";"3451";2014;500;"Soll";"Einnahme";"";"201";"Verkauf von Austattungs- gegenständen ";"Einnahmen aus Verkauf von Altmobiliar";"Allgemeine Verwaltung";"Kämmerei";"1100"
