haushalt;haushalt_beschreibung;haushaltstelle;einzelplan;unterabschnitt;haushaltkonto;jahr;wert;soll_ist;einnahme_ausgabe;vermerke;fb;haushaltstelle_beschreibung;haushaltstelle_beschreibung_detail;einzelplan_beschreibung;unterabschnitt_beschreibung;seite
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0000.9352";"0";"0000";"9352";2015;0;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane";"1088"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0000.9359";"0";"0000";"9359";2015;0;"Soll";"Ausgabe";"";"011";"Erwerb von sonst. beweglichen Sachen des Anlagevermögens";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane";"1088"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0000.9362";"0";"0000";"9362";2015;0;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane";"1088"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0000.9390";"0";"0000";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane";"1088"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.3040";"0";"0001";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.3140";"0";"0001";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5998, ZueD-Me=6998";"011";"Entnahme aus Budgetrücklage bzgl. Budget '0110000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9040";"0";"0001";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9140";"0";"0001";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5998, ZueD-Me=6998";"011";"Zuführung an Budgetrücklage bzgl. Budget '0110000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9351";"0";"0001";"9351";2015;0;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9352";"0";"0001";"9352";2015;0;"Soll";"Ausgabe";"";"011";"Arbeitsgeräte und Maschinen";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9361";"0";"0001";"9361";2015;0;"Soll";"Ausgabe";"";"011";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0001.9390";"0";"0001";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 1";"1089"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.3040";"0";"0002";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5902, ZueD-Me=6902";"020";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0200000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.3140";"0";"0002";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5902, ZueD-Me=6902";"020";"Entnahme aus Budgetrücklage bzgl. Budget '0200000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9040";"0";"0002";"9040";2015;0;"Soll";"Ausgabe";"MaßN.=5902, ZueD-Me=6902";"020";"Zuführung zum Verwaltungshaus- halt aus Budgetrücklage bzgl. Budget '0200000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9140";"0";"0002";"9140";2015;0;"Soll";"Ausgabe";"MaßN.=5902, ZueD-Me=6902";"020";"Zuführung an Budgetrücklage bzgl. Budget '0200000' Gesamtbedarf 0 bish. Mittel 0";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9361";"0";"0002";"9361";2015;3500;"Soll";"Ausgabe";"";"020";"Zimmerausstattungen -Ersatzbeschaffung-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0002.9390";"0";"0002";"9390";2015;0;"Soll";"Ausgabe";"EinR.=9170, gegsD=9390";"9170";"Erwerb von beweglichen Sachen des Anlagevermögens EDV-Ausstattung -vgl. HhSt. 1.0601.9390-";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 2";"1090"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.3040";"0";"0003";"3040";2015;0;"Soll";"Einnahme";"MaßN.=5903, ZueD-Me=6903";"030";"Zuführung vom Verwaltungshaus- halt für Budgetrücklage bzgl. Budget '0300000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
"B";"ermögenshaushalt 2015 - Modell 3 'Entwurf'";"0.0003.3140";"0";"0003";"3140";2015;0;"Soll";"Einnahme";"MaßN.=5903, ZueD-Me=6903";"030";"Entnahme aus Budgetrücklage bzgl. Budget '0300000'";"";"Allgemeine Verwaltung";"Gemeinde-, Kreis- und Bezirksorgane Direktorium 3";"1091"
